"Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"Achillea alpina subsp. multiflora","Achillea alpina subsp. multiflora (Hook.) D.F. Murray & Elven",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,1,1,"wfo-0001360211","urn:lsid:ipni.org:names:60450132-2","60450132-2","Achillea alpina  subsp. multiflora","subspecies","wfo-0000033731","(Hook.) D.F.Murray & Elven","Asteraceae","","",NA,"Achillea","","alpina","multiflora","subspecies","Valid","J. Bot. Res. Inst. Texas 2(1): 442 (2008)","Accepted","","",NA,"Source in seed data: ipni Update namepublishedIn from J. Bot. Res. Inst. Texas 2(1): 442. 2008 [24 Jul 2008]  to J. Bot. Res. Inst. Texas 2(1): 442 (2008), information provided by Alan E. on email Jun. 07 2021","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60450132-2","The Asteraceaae TEN","A","","",FALSE,"","",""
"Aconitum napellus subsp. lusitanicum Rouy","Aconitum napellus subsp. lusitanicum Rouy",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,24,2,1,"wfo-0000517688","urn:lsid:ipni.org:names:707615-1","751484","Aconitum napellus","species","wfo-4000000341","L.","Ranunculaceae","","",NA,"Aconitum","","napellus","","species","Valid","Sp. Pl. : 532 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 532 1753  to Sp. Pl. : 532 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2619110 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2619110","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2619110","",FALSE,"","",""
"Aconitum napellus subsp. lusitanicum Rouy","Aconitum napellus subsp. lusitanicum Rouy",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,24,2,2,"wfo-0000517798","urn:lsid:ipni.org:names:707649-1","751631","Aconitum ochotense","species","wfo-4000000341","Rchb.","Ranunculaceae","","",NA,"Aconitum","","ochotense","","species","Valid","Ill. Sp. Acon. Gen. : t. XVIII (1823)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Monog. Acon. t. 18.  to Ill. Sp. Acon. Gen. : t. XVIII (1823), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew","http://www.theplantlist.org/tpl1.1/record/kew-2619257","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2619257","",TRUE,"Synonym","wfo-0000517689","Aconitum napellus"
"Aconitum napellus subsp. lusitanicum Rouy","Aconitum napellus subsp. lusitanicum Rouy",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,24,2,3,"wfo-0000517258","urn:lsid:ipni.org:names:707356-1","751086","Aconitum fischeri","species","wfo-4000000341","Rchb.","Ranunculaceae","","",NA,"Aconitum","","fischeri","","species","Valid","Monogr. Acon. : 22 (1820)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Monog. Acon. t. 22.  to Monogr. Acon. : 22 (1820), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2618710 >Th","http://www.theplantlist.org/tpl1.1/record/kew-2618710","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2618710","",TRUE,"Synonym","wfo-0000517690","Aconitum napellus"
"Aconitum stoerkianum Rchb.","Aconitum stoerkianum Rchb.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,3,1,"wfo-0000517028","urn:lsid:ipni.org:names:707233-1","750861","Aconitum × cammarum","species","wfo-4000000341","L.","Ranunculaceae","","",NA,"Aconitum","","cammarum","","species","Valid","Sp. Pl. ed. 2 : 751 (1762)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. ed. 2 751 1762  to Sp. Pl. ed. 2 : 751 (1762), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2618485","http://www.theplantlist.org/tpl1.1/record/kew-2618485","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2618485","×",TRUE,"Synonym","wfo-0000518114","Aconitum stoerkianum"
"Agropyron cristatum subsp. pectinatum","Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,4,1,"wfo-0000842335","urn:lsid:ipni.org:names:7365-2","388313","Agropyron cristatum","species","wfo-4000000990","(L.) Gaertn.","Poaceae","","",NA,"Agropyron","","cristatum","","species","Valid","Novi Comment. Acad. Sci. Imp. Petrop. 14(1): 540 (1770)","Accepted","","wfo-0000855434",NA,"Source in seed data: wcs Update namepublishedIn from Novi Comment. Acad. Sci. Imp. Petrop. 14(1): 540 1770  to Novi Comment. Acad. Sci. Imp. Petrop. 14(1): 540 (1770), information provided by Alan E. on email Jun. 07 2021 More details could be found in <","http://www.theplantlist.org/tpl1.1/record/kew-388313","The Poaceae TEN","A","kew-388313","",TRUE,"Synonym","wfo-0000842358","Agropyron cristatum subsp. pectinatum"
"Agrostemma githago L.","Agrostemma githago L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,5,1,"wfo-0000524512","urn:lsid:ipni.org:names:95561-3","759050","Agrostemma githago","species","wfo-4000000994","L.","Caryophyllaceae","","",NA,"Agrostemma","","githago","","species","Valid","Species Plantarum 2  1753","Accepted","","",NA,"Source in seed data: cmp Updated namepublishedIn from Sp. Pl. 435 1753  to Species Plantarum 2  1753 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2626726 >The","http://www.theplantlist.org/tpl1.1/record/kew-2626726","The Caryophyllales Taxonomic Expert Network","A","kew-2626726","",FALSE,"","",""
"Agrostis canina L.","Agrostis canina L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,6,1,"wfo-0000844747","urn:lsid:ipni.org:names:386503-1","390633","Agrostis vinealis","species","wfo-4000000996","Schreb.","Poaceae","","",NA,"Agrostis","","vinealis","","species","Valid","Spic. Fl. Lips. : 47 (1771)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Spic. Fl. Lips. 47. 1771 [9 Jul-25 Oct 1771]  to Spic. Fl. Lips. : 47 (1771), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tp","http://www.theplantlist.org/tpl1.1/record/kew-390633","The Poaceae TEN","A","kew-390633","",TRUE,"Synonym","wfo-0001095560","Agrostis canina f. arida"
"Agrostis clavata Trin.","Agrostis clavata Trin.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,7,1,"wfo-0000843445","urn:lsid:ipni.org:names:385585-1","389400","Agrostis clavata","species","wfo-4000000996","Trin.","Poaceae","","",NA,"Agrostis","","clavata","","species","Valid","Neue Entdeck. Pflanzenk. 2: 55 (1821)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Neue Entdeck. Pflanzenk. 2: 55. 1821  to Neue Entdeck. Pflanzenk. 2: 55 (1821), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/","http://www.theplantlist.org/tpl1.1/record/kew-389400","The Poaceae TEN","A","kew-389400","",FALSE,"","",""
"Alchemilla baltica Sam. ex Juz.","Alchemilla baltica Sam. ex Juz.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,13,8,1,"wfo-0001018454","urn:lsid:ipni.org:names:77120353-1","9333","Alchemilla baltica","species","wfo-4000001119","Juz.","Rosaceae","","",NA,"Alchemilla","","baltica","","species","Valid","Fl. Sredn. Polosy Evropeiskoi Chasti SSSR , ed. 7: 449 (1940)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Flora srednej Polosy evropejskoj C$Kasti SSSR ; 1940 449 1940  to Fl. Sredn. Polosy Evropeiskoi Chasti SSSR , ed. 7: 449 (1940), information provided by Alan E. on email Jun. 07 2021 More details could","http://www.theplantlist.org/tpl1.1/record/rjp-9333","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-9333","",FALSE,"","",""
