"scientificName"
"Dactyloctenium aegyptium"
"Senna bicapsularis"
"Cenchrus ciliaris"
"Eragrostis ciliaris"
"Echinochloa colona"
"Ricinus communis"
"Kalanchoe daigremontiana"
"Cryptostegia grandiflora"
"Cleome gynandra"
"Tabebuia heterophylla"
"Parthenium hysterophorus"
"Azadirachta indica"
"Lawsonia inermis"
"Senna italica"
"Ziziphus jujuba"
"Albizia lebbeck"
"Antigonon leptopus"
"Leucaena leucocephala"
"Chenopodium murale"
"Brachiaria mutica"
"Moringa oleifera"
"Bothriochloa pertusa"
"Calotropis procera"
"Pennisetum purpureum"
"Melinis repens"
"Catharanthus roseus"
"Cyperus rotundus"
"Ziziphus spina-christi"
"Tecoma stans"
"Clitoria ternatea"
"Aloe vera"
"Cleome viscosa"
"Erythrina abyssinica"
"Erythrina abyssinica  subsp. abyssinica"
"Rumex abyssinicus"
"Parkinsonia aculeata"
"Ageratina adenophora"
"Solanum aethiopicum"
"Inga affinis"
"Funtumia africana"
"Senna alata"
"Populus alba"
"Ipomoea alba"
"Phyllanthus amarus"
"Dysphania ambrosioides"
"Schwenckia americana"
"Solanum americanum"
"Physalis angulata"
"Mercurialis annua"
"Capsicum annuum"
"Khaya anthotheca"
"Hexasepalum apiculatum"
"Celosia argentea"
"Cicer arietinum"
"Lysimachia arvensis"
"Spergula arvensis"
"Torilis arvensis"
"Achyranthes aspera"
"Achyranthes aspera  var. porphyristachya"
"Achyranthes aspera  var. sicula"
"Macroptilium atropurpureum"
"Citrus aurantiifolia"
"Citrus × aurantium"
"Melia azedarach"
"Capsicum baccatum"
"Ocimum basilicum"
"Solanum betaceum"
"Sorghum bicolor"
"Cenchrus biflorus"
"Bidens biternata"
"Hydrocotyle bonariensis"
"Erigeron bonariensis"
"Guilandina bonduc"
"Cinnamomum burmanni"
"Cajanus cajan"
"Pityrogramma calomelanos"
"Eucalyptus camaldulensis"
"Lantana camara"
"Haematoxylum campechianum"
"Persicaria capitata"
"Canavalia cathartica"
"Amaranthus caudatus"
"Gomphrena celosioides"
"Ruta chalepensis"
"Momordica charantia"
"Jatropha chevalieri"
"Prosopis chilensis"
"Cymbopogon citratus"
"Ixora coccinea"
"Ananas comosus"
"Ageratum conyzoides"
"Eleusine coracana"
"Drymaria cordata"
"Vernicia cordata"
"Sida cordifolia"
"Oxalis corniculata"
"Pontederia crassipes"
"Anthephora cristata"
"Echinochloa crus-galli"
"Heliotropium curassavicum"
"Jatropha curcas"
"Euphorbia cyathophora"
"Acacia dealbata"
"Biancaea decapetala"
"Acacia decurrens"
"Kalanchoe delagoensis"
"Guilleminea densa"
"Senna didymobotrya"
"Boerhavia diffusa"
"Paspalum dilatatum"
"Desmodium subsecundum"
"Tithonia diversifolia"
"Pontederia diversifolia"
"Arundo donax"
"Eragrostis echinochoidea"
"Inga edulis"
"Passiflora edulis"
"Afrohybanthus enneaspermus"
"Canavalia ensiformis"
"Boerhavia erecta"
"Duranta erecta"
"Cassia eremophila"
"Manihot esculenta"
"Solanum lycopersicum"
"Olea europaea"
"Vicia faba"
"Vachellia farnesiana"
"Opuntia ficus-indica"
"Cassytha filiformis"
"Cassia fistula"
"Potamogeton fluitans"
"Furcraea foetida"
"Passiflora foetida"
"Phyllanthus fraternus"
"Calotropis gigantea"
"Erythrostemon gilliesii"
"Pachira glabra"
"Nicotiana glauca"
"Oenothera glazioviana"
"Gomphrena globosa"
"Wolffia globosa"
"Cardiospermum grandiflorum"
"Abutilon grandifolium"
"Anethum graveolens"
"Psidium guajava"
"Stylosanthes guianensis"
"Psidium guineense"
"Senna hirsuta"
"Gossypium hirsutum"
"Cocculus hirsutus"
"Euphorbia hirta"
"Acanthospermum hispidum"
"Amaranthus hybridus"
"Arachis hypogaea"
"Cynodon incompletus"
"Canna indica"
"Euphorbia indica"
"Flacourtia indica"
"Mangifera indica"
"Chrysanthellum indicum  subsp. afroamericanum"
"Combretum indicum"
"Heliotropium indicum"
"Datura innoxia"
"Desmodium intortum"
"Mirabilis jalapa"
"Cassia javanica  subsp. agnes"
"Brassica juncea"
"Spartium junceum"
"Coix lacryma-jobi"
"Physalis lagascae"
"Nephelium lappaceum"
"Olyra latifolia"
"Persicaria limbata"
"Corrigiola litoralis"
"Aristolochia littoralis"
"Hymenocallis littoralis"
"Urena lobata"
"Malva longiflora"
"Glinus lotoides"
"Phaseolus lunatus"
"Helichrysum luteoalbum"
"Phyllanthus maderaspatensis"
"Solanum mauritianum"
"Cucurbita maxima"
"Spergularia media"
"Acacia melanoxylon"
"Cucumis melo"
"Solanum melongena"
"Datura metel"
"Argemone mexicana"
"Dichondra micrantha"
"Tagetes minuta"
"Schinus molle"
"Falcataria falcata"
"Spondias mombin"
"Bauhinia monandra"
"Coincya monensis  subsp. cheiranthos"
"Polypogon monspeliensis"
"Vernicia montana"
"Calopogonium mucunoides"
"Jatropha multifida"
"Vigna mungo"
"Fumaria muralis"
"Rumex nepalensis"
"Vachellia nilotica  subsp. indica"
"Synedrella nodiflora"
"Zostera noltii"
"Mollugo nudicaulis"
"Atriplex nummularia"
"Senna obtusifolia"
"Anacardium occidentale"
"Senna occidentalis"
"Chromolaena odorata"
"Nasturtium officinale"
"Saccharum officinarum"
"Neptunia prostrata"
